x,y,I1,I2,I3,I4,I5,I6,I7
-8.0,-8.0,0,0,0,0,0,0,0
-8.0,-6.545454545454545,0,0,0,0,0,0,0
-8.0,-5.090909090909091,0,0,0,0,0,0,0
-8.0,-3.6363636363636367,0,0,0,0,0,0,0
-8.0,-2.1818181818181817,0,0,0,0,1,0,0
-8.0,-0.7272727272727266,0,0,0,0,1,0,0
-8.0,0.7272727272727266,0,0,0,0,0,0,0
-8.0,2.1818181818181817,0,0,0,0,0,0,0
-8.0,3.6363636363636367,0,0,0,0,0,0,0
-8.0,5.090909090909092,0,0,0,0,0,0,0
-8.0,6.545454545454547,0,0,0,0,0,0,0
-8.0,8.0,0,0,0,0,0,0,0
-6.545454545454545,-8.0,0,0,0,0,0,0,0
-6.545454545454545,-6.545454545454545,0,0,0,0,0,0,0
-6.545454545454545,-5.090909090909091,0,5,0,0,1,0,0
-6.545454545454545,-3.6363636363636367,2,9,0,3,3,0,0
-6.545454545454545,-2.1818181818181817,1,3,2,3,6,1,1
-6.545454545454545,-0.7272727272727266,0,6,0,5,1,2,2
-6.545454545454545,0.7272727272727266,0,2,0,0,6,0,7
-6.545454545454545,2.1818181818181817,0,2,0,1,2,0,2
-6.545454545454545,3.6363636363636367,0,0,0,0,3,0,1
-6.545454545454545,5.090909090909092,0,0,0,0,2,0,0
-6.545454545454545,6.545454545454547,0,0,0,0,0,0,0
-6.545454545454545,8.0,0,0,0,0,0,0,0
-5.090909090909091,-8.0,0,0,0,0,0,0,0
-5.090909090909091,-6.545454545454545,2,7,0,0,0,0,0
-5.090909090909091,-5.090909090909091,3,4,0,2,0,0,2
-5.090909090909091,-3.6363636363636367,2,2,7,2,1,1,1
-5.090909090909091,-2.1818181818181817,2,1,9,3,3,8,7
-5.090909090909091,-0.7272727272727266,3,1,3,0,1,2,0
-5.090909090909091,0.7272727272727266,4,8,2,4,4,4,1
-5.090909090909091,2.1818181818181817,3,4,5,0,1,1,5
-5.090909090909091,3.6363636363636367,0,4,2,4,0,5,3
-5.090909090909091,5.090909090909092,0,0,0,0,0,1,2
-5.090909090909091,6.545454545454547,0,0,0,0,0,0,0
-5.090909090909091,8.0,0,0,0,0,0,0,0
-3.6363636363636367,-8.0,0,0,0,0,0,0,0
-3.6363636363636367,-6.545454545454545,1,2,0,2,1,0,0
-3.6363636363636367,-5.090909090909091,3,6,2,2,0,1,3
-3.6363636363636367,-3.6363636363636367,1,3,2,2,4,0,1
-3.6363636363636367,-2.1818181818181817,0,0,3,3,4,2,4
-3.6363636363636367,-0.7272727272727266,2,0,0,0,0,2,0
-3.6363636363636367,0.7272727272727266,2,2,0,4,0,1,0
-3.6363636363636367,2.1818181818181817,3,3,1,2,1,6,1
-3.6363636363636367,3.6363636363636367,1,2,2,2,0,3,3
-3.6363636363636367,5.090909090909092,1,3,1,2,4,2,4
-3.6363636363636367,6.545454545454547,0,0,0,0,1,1,2
-3.6363636363636367,8.0,0,0,0,0,0,0,0
-2.1818181818181817,-8.0,0,0,0,0,0,0,0
-2.1818181818181817,-6.545454545454545,3,0,1,3,1,0,0
-2.1818181818181817,-5.090909090909091,4,3,2,1,0,5,2
-2.1818181818181817,-3.6363636363636367,1,3,3,2,0,4,4
-2.1818181818181817,-2.1818181818181817,0,0,3,1,0,6,1
-2.1818181818181817,-0.7272727272727266,0,0,0,0,0,0,0
-2.1818181818181817,0.7272727272727266,2,0,0,0,0,0,0
-2.1818181818181817,2.1818181818181817,2,3,4,1,0,0,0
-2.1818181818181817,3.6363636363636367,4,0,3,3,4,2,2
-2.1818181818181817,5.090909090909092,1,1,2,2,8,0,0
-2.1818181818181817,6.545454545454547,0,0,0,0,0,3,4
-2.1818181818181817,8.0,0,0,0,0,0,0,0
-0.7272727272727266,-8.0,0,0,0,0,0,0,0
-0.7272727272727266,-6.545454545454545,1,3,3,3,0,0,0
-0.7272727272727266,-5.090909090909091,0,0,4,2,2,3,4
-0.7272727272727266,-3.6363636363636367,0,0,1,4,2,0,2
-0.7272727272727266,-2.1818181818181817,0,0,0,0,0,3,0
-0.7272727272727266,-0.7272727272727266,0,0,0,0,0,0,0
-0.7272727272727266,0.7272727272727266,0,0,0,0,0,0,0
-0.7272727272727266,2.1818181818181817,4,1,0,0,0,0,0
-0.7272727272727266,3.6363636363636367,2,6,2,5,2,1,0
-0.7272727272727266,5.090909090909092,1,0,7,2,2,1,2
-0.7272727272727266,6.545454545454547,0,0,0,2,2,1,6
-0.7272727272727266,8.0,0,0,0,0,0,0,0
0.7272727272727266,-8.0,0,0,0,0,0,0,0
0.7272727272727266,-6.545454545454545,5,4,0,2,2,0,0
0.7272727272727266,-5.090909090909091,3,2,8,2,3,0,6
0.7272727272727266,-3.6363636363636367,0,0,2,0,1,4,2
0.7272727272727266,-2.1818181818181817,0,0,0,0,0,0,0
0.7272727272727266,-0.7272727272727266,0,0,0,0,0,0,0
0.7272727272727266,0.7272727272727266,0,0,0,0,0,0,0
0.7272727272727266,2.1818181818181817,6,3,0,0,0,0,0
0.7272727272727266,3.6363636363636367,1,2,8,7,4,3,1
0.7272727272727266,5.090909090909092,19,2,7,1,4,1,1
0.7272727272727266,6.545454545454547,0,0,0,0,6,4,1
0.7272727272727266,8.0,0,0,0,0,0,1,0
2.1818181818181817,-8.0,0,0,0,0,0,0,0
2.1818181818181817,-6.545454545454545,1,0,2,1,0,0,0
2.1818181818181817,-5.090909090909091,7,1,4,3,7,2,3
2.1818181818181817,-3.6363636363636367,0,0,0,9,8,2,2
2.1818181818181817,-2.1818181818181817,0,0,0,0,3,0,4
2.1818181818181817,-0.7272727272727266,0,0,0,0,1,0,5
2.1818181818181817,0.7272727272727266,0,0,0,0,0,0,0
2.1818181818181817,2.1818181818181817,2,3,0,0,0,0,0
2.1818181818181817,3.6363636363636367,7,2,2,7,1,0,0
2.1818181818181817,5.090909090909092,4,3,2,7,1,0,3
2.1818181818181817,6.545454545454547,0,0,1,0,1,3,3
2.1818181818181817,8.0,0,0,0,0,0,0,0
3.6363636363636367,-8.0,0,0,0,0,0,0,0
3.6363636363636367,-6.545454545454545,5,3,1,0,0,0,0
3.6363636363636367,-5.090909090909091,2,2,4,1,0,0,1
3.6363636363636367,-3.6363636363636367,5,4,1,2,6,2,1
3.6363636363636367,-2.1818181818181817,1,6,3,3,4,6,3
3.6363636363636367,-0.7272727272727266,0,1,0,6,2,4,7
3.6363636363636367,0.7272727272727266,0,1,0,0,5,0,4
3.6363636363636367,2.1818181818181817,4,8,0,0,7,0,0
3.6363636363636367,3.6363636363636367,3,1,4,5,1,0,3
3.6363636363636367,5.090909090909092,1,1,1,5,1,4,2
3.6363636363636367,6.545454545454547,0,0,1,2,0,4,3
3.6363636363636367,8.0,0,0,0,0,0,0,0
5.090909090909092,-8.0,0,0,0,0,0,0,0
5.090909090909092,-6.545454545454545,2,1,0,0,0,0,0
5.090909090909092,-5.090909090909091,3,2,4,2,0,1,0
5.090909090909092,-3.6363636363636367,3,2,5,11,8,0,3
5.090909090909092,-2.1818181818181817,1,3,3,10,4,1,2
5.090909090909092,-0.7272727272727266,3,0,1,9,3,3,2
5.090909090909092,0.7272727272727266,3,4,4,1,5,2,3
5.090909090909092,2.1818181818181817,6,11,0,3,1,3,3
5.090909090909092,3.6363636363636367,3,0,4,10,1,7,1
5.090909090909092,5.090909090909092,0,0,2,0,0,5,1
5.090909090909092,6.545454545454547,0,0,0,0,0,1,0
5.090909090909092,8.0,0,0,0,0,0,0,0
6.545454545454547,-8.0,0,0,0,0,0,0,0
6.545454545454547,-6.545454545454545,0,0,0,0,0,0,0
6.545454545454547,-5.090909090909091,0,0,1,0,0,0,0
6.545454545454547,-3.6363636363636367,5,0,4,0,0,1,0
6.545454545454547,-2.1818181818181817,5,0,2,0,0,4,0
6.545454545454547,-0.7272727272727266,1,0,2,0,0,0,0
6.545454545454547,0.7272727272727266,2,1,1,1,0,0,0
6.545454545454547,2.1818181818181817,3,0,0,0,0,0,0
6.545454545454547,3.6363636363636367,0,0,1,0,0,0,0
6.545454545454547,5.090909090909092,0,0,0,0,0,0,0
6.545454545454547,6.545454545454547,0,0,0,0,0,0,0
6.545454545454547,8.0,0,0,0,0,0,0,0
8.0,-8.0,0,0,0,0,0,0,0
8.0,-6.545454545454545,0,0,0,0,0,0,0
8.0,-5.090909090909091,0,0,0,0,0,0,0
8.0,-3.6363636363636367,0,0,0,0,0,0,0
8.0,-2.1818181818181817,0,0,0,0,0,0,0
8.0,-0.7272727272727266,0,0,0,0,0,0,0
8.0,0.7272727272727266,0,0,1,0,0,0,0
8.0,2.1818181818181817,0,0,2,0,0,0,0
8.0,3.6363636363636367,0,0,0,0,0,0,0
8.0,5.090909090909092,0,0,0,0,0,0,0
8.0,6.545454545454547,0,0,0,0,0,0,0
8.0,8.0,0,0,0,0,0,0,0
